db,action,id,old_plu,new_plu,old_name,new_name
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,0786972f-7f03-4abb-9e92-eb7d008db3fa,5791,5791,MANDARINES AFROURER   KG,MANDARINES AFROURER KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,c24b4a51-2a14-4eb4-9d47-0bbd96195cec,723,723,FRUIT & VEG EA,(S) FRUIT & VEG EA
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,5cc58403-288c-4037-8d9f-3f3653c65b16,722,722,FRUIT & VEG KG,(S) FRUIT & VEG KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,228fad78-6ca2-4395-afe2-c2e9c0c7ed3f,709,709,PAW PAW CUT,(S) PAW PAW CUT
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,58be16ef-9130-4ce4-bed7-036e46e25889,732,732,PAW PAW RED CUT KG,(S) PAW PAW RED CUT KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,778d15c5-5d54-4337-874d-be265328b86a,795,795,RED PAPAYA KG,(S) RED PAPAYA KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,c33d8cac-f730-4078-aa5c-a61997a03e43,799,799,SEEDLESS WATERMELON CUT KG,(S) SEEDLESS WATERMELON CUT KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,3c12f5fa-663f-4d45-9a76-1f6e7c797cb7,714,714,WATERMELON KG,(S) WATERMELON KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,779372af-ecee-4ee6-b5bb-0be83342ad3a,719,719,SEEDLESS WATERMELON WHOLE,(S)SEEDLESS WATERMELON WHOLE
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,moved_conflict,p-banana,4011,500039605485950017,Bananas,
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,inserted,price-list-4011,,4011,,APPLE PINK LADY KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,moved_conflict,p-apple-rg,4015,500039605485950018,Royal Gala Apples,
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,moved_conflict,p-kb-pg7-btn8,4015,500039605485950019,Large Royal Gala Apple,
